age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
79,F,937,Célibataire,0,false,1419 HT 33
41,M,1191,Célibataire,0,false,6689 EO 75
58,M,439,Célibataire,0,false,5146 UM 18
19,M,1055,En Couple,4,false,1741 UV 91
55,M,590,Seule,2,false,5972 PV 91
68,Féminin,486,En Couple,2,false,3435 HS 10
28,F,448,En Couple,4,false,5143 EE 23
49,F,477,Célibataire,0,false,337 FF 83
46,F,437,En Couple,2,false,526 FQ 65
21,M,484,Célibataire,0,false,6956 ZL 76
?,F,494,En Couple,1,false,5547 PL 49
18,F,1114,En Couple,4,false,3269 LQ 23
39,M,1046,En Couple,4,true,267 QO 70
40,M,168,N/D,0,false,1006 IX 77
55,F,1169,En Couple,3,false,8263 AF 98
83,M,521,En Couple,2,false,3636 UX 28
29,Homme,756,En Couple,1,false,1935 EQ 92
61,F,240,Célibataire,0,false,5516 KP 85
26,F,531,En Couple,4,false,5918 QY 47
53,M,473,En Couple,1,false,3767 BF 12
52,M,563,En Couple,1,false,2443 PA 65
78,M,490,En Couple,1,false,6816 RI 94
30,?,491,Célibataire,0,false,68 LU 17
52,F,546,En Couple,1,true,8010 LN 54
42,M,1155,En Couple,0,false,8034 MX 83
22,M,458,En Couple,3,false,9300 CP 14
23,M,526,Célibataire,0,false,1849 HQ 63
32,M,461,En Couple,2,true,3878 SX 67
36,M,1139,En Couple,0,false,9206 BR 81
62,F,1193,En Couple,4,false,1907 UQ 20
29,F,446,Célibataire,0,false,753 JO 25
20,M,157,En Couple,1,false,1415 JJ 37
28,F,501,En Couple,1,false,4923 RR 67
28,F,1306,En Couple,0,false,1256 PZ 45
75,M,588,En Couple,2,false,4814 KN 69
54,M,1059,Célibataire,0,false,8807 OS 70
40,M,1190,En Couple,1,false,3170 HT 14
48,M,175,En Couple,3,false,6509 NW 54
78,M,991,En Couple,3,true,8515 EN 51
28,M,173,Seul,0,false,9568 BH 54
72,M,1223,Seule,3,false,6973 VN 86
50,M,565,En Couple,2,true,701 DA 12
47,M,786,Seule,3,false,9075 SU 45
58,M,955,En Couple,0,false,6701 NH 25
19,M,438,Seule,1,false,8161 OI 63
35,F,570,Seule,2,false,3538 QJ 97
46,M,553,Seule,3,false,7599 HS 80
65,M,401,Célibataire,0,false,8952 NH 10
40,F,520,En Couple,3,false,4638 FV 12
59,M,456,En Couple,0,true,2918 TM 63
51,F,903,En Couple,2,false,7210 CH 80
46,M,902,En Couple, ,false,3693 JI 48
59,F,962,En Couple,3,false,4104 SV 38
49,F,188,En Couple,4,false,2389 FG 31
22,F,218,En Couple,2,false,6839 LJ 69
59,F,558,Célibataire,0,false,3620 AH 11
56,M,776,En Couple,2,false,5569 AG 36
73,F,411,En Couple,2,false,8760 GQ 62
31,?,434,En Couple,0,true,5304 HD 28
46,F,1304,En Couple,1,false,5145 GC 89
28,F,914,En Couple,0,true,9771 ZG 44
18,F,513,Célibataire,0,false,4458 YU 67
27,M,153,Célibataire,0,false,3360 ZX 55
39,F,547,En Couple,4,false,5719 VA 81
36,M,403,Célibataire,0,false,7097 DO 88
73,F,934,Célibataire,0,false,6198 VC 95
43,F,568,En Couple,4,false,6897 JQ 89
60,F,718,Célibataire,0,false,856 XF 28
71,M,543,Célibataire,0,false,7806 ZW 56
67,M,558,Célibataire,0,false,4358 ZY 90
77,M,418,En Couple,2,false,2174 NI 54
67,M,205,Célibataire,0,false,6982 MD 50
34,M,422,Célibataire,0,false,6619 UD 30
24,M,446,Célibataire,0,false,2949 FB 85
42,M,1142,En Couple,0,false,8345 YZ 91
32,M,470,En Couple,1,false,4699 OG 58
30,Masculin,592,Célibataire,0,false,2212 GV 73
43,M,1114,En Couple,1,false,6508 GD 84
52,M,162,En Couple,3,false,3637 BQ 18
22,M,420,Célibataire,0,false,292 EP 97
34,M,832,Célibataire,0,false,1580 JB 80
57,M,552,En Couple,2,false,4440 ME 36
46,M,573,En Couple,2,false,2004 IU 58
28,M,528,En Couple,2,false,2697 HI 56
59,M,454,Seule,2,false,5411 EN 37
35,M,599,En Couple,1,false,1073 VE 86
58,M,1183,En Couple,0,false,3289 TR 78
21,M,431,Célibataire,0,false,4101 CD 41
26,M,429,Célibataire,0,false,7230 MG 51
24,M,490,En Couple,1,false,2979 BI 83
23,M,433,En Couple,3,false,4470 MP 21
38,M,1054,Célibataire,0,false,6467 TW 71
18,M,470,En Couple,2,false,1278 XC 45
53,M,1033,En Couple,1,false,2568 VP 64
70,M,897,En Couple,2,false,4013 SK 77
74,M,481,En Couple,1,false,3278 FC 63
47,M,554,En Couple,4,false,2230 RW 39
20,F,481,En Couple,2,true,4155 TM 91
81,M,467,En Couple,2,false,9938 OG 25
27,F,772,En Couple,1,false,5103 XB 88
28,M,232,En Couple,1,false,3288 QV 10
56,F,471,Célibataire,0,false,9573 GH 80
68,F,528,En Couple,2,false,6935 VK 88
36,M,420,En Couple,0,false,5506 AO 65
34,F,489,En Couple,1,false,4856 TJ 37
26,Homme,230,En Couple,2,false,3363 AB 83
61,F,978,En Couple,1,false,510 IH 88
20,M,539,Célibataire,0,false,2432 IM 62
59,M,1396,En Couple,0,false,9591 HK 88
34,F,821,En Couple,0,false,8061 CQ 13
27,M,556,En Couple,4,false,4633 FH 45
64,M,167,En Couple,1,false,3173 HY 85
33,F,220,Célibataire,0,false,5032 LE 71
20,M,1312,En Couple,4,false,6047 IY 96
56,F,1117,En Couple,2,false,6892 PA 11
28,M,442,Célibataire,0,false,6347 GC 49
37,M,512,En Couple,1,true,4941 YS 57
27,F,1127,En Couple,3,false,2179 IX 54
50,F,545,Célibataire,0,false,9577 WL 62
28,F,182,En Couple,2,false,9052 IH 81
23,F,542,En Couple,1,true,745 XZ 16
63,F,1365,Célibataire,0,false,772 OI 57
28,M,1254,Célibataire,0,false,3474 LN 51
29,M,487,Seule,1,false,6227 MK 78
46,M,543,En Couple,3,false,9567 KD 47
31,M,187,En Couple,3,false,9596 XQ 51
80,M,540,Célibataire,0,false,153 EU 46
79,M,579,En Couple,0,false,8411 OO 83
26,M,438,En Couple,1,true,6641 JV 13
56,M,473,Célibataire,0,false,2357 KC 56
75,M,1242,Célibataire,0,false,9202 AS 67
28,F,1296,En Couple,3,true,2429 VB 53
28,F,416,Seule,2,false,2193 EB 78
43,F,539,En Couple,2,false,3355 AU 78
56,M,439,Seule,2,false,158 LW 69
41,Homme,458,Célibataire,0,false,1140 KD 89
25,M,537,Célibataire,0,false,1459 DE 93
65,M,901,Célibataire,0,false,9607 WB 61
28,M,517,En Couple,2,true,7297 QF 55
18,M,478,En Couple,1,false,4812 PZ 81
42,F,776,En Couple,2,true,9047 NQ 12
33,M,1327,Seule,2,false,8292 HG 14
57,M,560,En Couple,0,false,9661 AY 10
54,M,217,En Couple,0,false,6798 XV 19
21,M,593,En Couple,2,false,7778 BS 79
68,M,196,En Couple,1,false,525 SU 78
72,F,845,Célibataire,0,false,6435 UA 61
24,M,1127,En Couple,0,false,5092 RQ 75
18,F,529,En Couple,4,false,6213 LX 75
25,M,450,Célibataire,0,false,6668 SJ 54
68,M,1283,En Couple,3,true,8 TD 37
18,M,230,En Couple,3,false,602 GK 81
23,M,1044,Célibataire,0,false,9540 KI 30
37,M,959,Célibataire,0,false,9292 OV 46
51,M,412,Célibataire,0,false,4156 OF 68
29,F,420,En Couple,0,true,3770 ET 31
75,F,526,En Couple,1,false,7839 BU 13
19,M,1117,Célibataire,0,false,3895 DS 51
23,M,595,En Couple,4,false,3988 OX 62
45,F,1215,En Couple,0,true,7630 RD 85
43,M,519,En Couple,3,false,2939 AU 13
24,M,245,Célibataire,0,false,5191 SJ 98
47,F,1359,Célibataire,0,false,1872 UN 83
44,M,1066,Seule,3,false,8049 XK 70
49,Homme,464,En Couple,2,false,6873 WG 37
61,M,1004,En Couple,3,false,8887 JW 95
83,M,1240,En Couple,0,true,6485 UT 92
20,F,235,En Couple,3,false,9981 CR 77
78,M,561,En Couple,4,false,3212 XR 56
71,F,1237,En Couple,3,false,1666 UM 55
29,M,527,En Couple,3,false,6691 ZO 17
23,F,1125,En Couple,2,false,3518 EZ 34
20,M,537,En Couple,1,false,9767 GS 95
54,M,1165,Célibataire,0,false,2626 KS 97
33,F,797,En Couple,2,false,7454 VN 17
67,M,474,En Couple,2,false,8364 KN 98
29,M,229,En Couple,0,false,9259 OW 56
25,M,437,En Couple,4,false,4498 IH 44
26,M,549,En Couple,3,false,1065 RJ 30
29,M,-1,Célibataire,0,false,3172 FC 77
46,F,590,En Couple,4,false,9244 OM 24
36,F,407,En Couple,1,false,5116 DT 59
25,M,594,En Couple,0,false,1061 JO 44
18,M,1249,En Couple,1,false,8542 KM 22
19,Masculin,498,Célibataire,0,false,8876 TJ 38
68,M,516,En Couple,1,false,7402 UW 27
78,M,732,En Couple,2,false,9381 BS 32
29,F,574,En Couple,2,false,7367 JU 11
28,M,563,Seul,0,false,94 NO 64
57,M,205,En Couple,2,true,424 CC 41
84,M,545,En Couple,2,true,7821 SY 18
74,M,760,Seule,2,false,8552 TI 10
28,M,238,Célibataire,0,false,4403 XU 21
51,M,439,Célibataire,0,false,4863 SY 66
47,M,920,En Couple,0,false,3197 BA 63
38,F,222,Célibataire,0,false,2188 LN 20
43,M,216,En Couple,2,false,3839 AO 58
20,F,1177,En Couple,4,false,5658 GI 91
25,F,447,En Couple,1,false,8441 BU 77
79,M,597,En Couple,2,false,9837 SX 12
28,M,767,En Couple,2,false,3572 YN 15
45,F,537,Célibataire,0,false,1572 SE 69
68,M,500,En Couple,1,true,5299 BD 14
22,M,572,En Couple,?,true,2262 AP 39
59,M,188,En Couple,0,false,4804 ZS 90
60,M,999,En Couple,1,false,727 QM 57
46,F,425,En Couple,0,false,798 LK 81
52,F,822,En Couple,4,false,4689 RE 69
26,M,495,Célibataire,0,false,2659 AW 77
52,M,1316,En Couple,2,false,2749 UN 25
23,F,479,En Couple,4,false,5117 BB 67
68,M,548,Célibataire,0,false,1994 ND 63
82,M,183,En Couple,2,false,4930 SM 56
29,M,411,En Couple,0,false,4738 EK 85
22,F,925,Célibataire,0,false,4705 AC 64
19,M,1388,En Couple,1,true,3833 JT 65
45,M,170,En Couple,3,false,4707 BR 47
24,F,1163,Célibataire,0,false,4591 PT 91
19,M,163,En Couple,0,false,4717 LQ 29
41,M,924,Célibataire,0,false,427 WC 52
56,M,578,Célibataire,0,false,9035 UM 38
28,M,561,Célibataire,0,false,1423 VF 19
29,M,529,En Couple,0,false,6420 AA 44
41,M,214,En Couple,3,false,5977 JY 31
80,Masculin,1184,En Couple,3,false,2890 ZA 28
49,M,1227,Célibataire,0,false,5725 GM 38
31,M,455,En Couple,3,false,9928 CJ 13
22,F,213,En Couple,0,false,8989 AZ 26
28,M,1012,En Couple,2,false,5316 PS 27
71,M,528,En Couple,0,false,7427 QL 34
20,M,-1,Célibataire,0,false,8124 RY 44
83,M,246,En Couple,3,false,7251 VO 74
55,M,222,Seule,3,false,698 LN 73
34,M,424,Célibataire,0,false,9612 LF 26
30,M,503,Célibataire,0,false,4626 XB 59
29,F,594,En Couple,0,false,165 ID 33
80,M,763,En Couple,1,false,2641 TE 83
40,F,1173,Célibataire,0,false,6225 SJ 93
23,F,889,En Couple,1,false,7133 ZU 55
52,M,529,En Couple,4,false,4637 GL 63
55,M,564,Célibataire,0,false,5513 OG 87
21,F,1095,Célibataire,0,false,8895 TT 69
24,F,981,Célibataire,0,false,1087 OA 28
44,F,864,Célibataire,0,false,8102 KP 13
47,M,997,En Couple,3,false,2005 UP 21
38,F,1194,En Couple,2,false,1950 RV 56
42,F,562,En Couple,2,false,7371 WA 21
18,M,734,En Couple,3,false,5627 TK 76
44,M,435,En Couple,4,false,3465 AY 75
48,F,489,Célibataire,0,false,5290 CU 31
32,F,504,En Couple,3,true,7283 TA 33
40,M,233,Célibataire,0,false,5685 RA 67
41,M,992,En Couple,4,false,454 UI 31
54,M,408,En Couple,2,false,7085 YO 32
44,F,893,En Couple,3,false,2346 JI 55
60,M,169,Célibataire,0,false,3503 UM 15
36,M,533,Seule,2,false,8623 QA 82
47,M,240,En Couple,0,false,8594 PW 67
56,M,425,En Couple,4,false,1874 MO 52
22,M,1130,En Couple,0,false,8949 KB 89
27,M,586,En Couple,0,false,6327 KH 17
18,M,516,En Couple,1,false,3843 AO 94
23,M,1252,Célibataire,0,false,4158 TM 70
52,F,1204,Célibataire,0,false,5472 YC 36
57,M,200,En Couple,2,false,2655 VW 41
27,F,506,En Couple,4,true,4058 JS 29
24,M,1029,En Couple,0,false,7088 LH 78
43,M,160,En Couple,0,true,9722 JJ 28
25,M,545,En Couple,2,false,6971 BL 75
31,F,484,En Couple,3,false,4691 XP 42
45,M,188,En Couple,2,false,9290 YE 88
82,M,1213,Célibataire,0,false,6271 CC 15
53,M,1256,Célibataire,0,false,445 WZ 78
22,M,1288,En Couple,0,false,647 VT 95
22,M,1017,En Couple,0,false,6720 PZ 58
24,F,1246,En Couple,1,false,4793 XS 49
54,M,441,En Couple,0,true,8728 LZ 85
25,M,588,En Couple,1,true,3857 SA 83
37,M,409,En Couple,0,false,5972 YA 80
54,F,516,En Couple,0,false,3698 ES 65
56,F,236,En Couple,1,false,7261 PB 34
32,M,1211,En Couple,0,false,1308 OA 76
35,F,438,Célibataire,0,false,3656 AJ 45
37,M,945,En Couple,2,false,9654 ZJ 23
33,M,455,En Couple,2,true,1136 WF 43
74,M,1352,En Couple,0,true,818 SV 22
79,M,1103,Célibataire,0,false,7502 PA 81
67,M,818,En Couple,2,false,5149 XP 71
18,M,158,En Couple,0,false,6339 GK 90
32,M,242,En Couple,2,true,4125 WZ 63
51,M,590,En Couple,0,false,4394 BC 34
23,M,150,En Couple,2,false,7827 JG 61
78,M,480,En Couple,0,false,8952 CG 68
70,M,524,En Couple,0,false,169 ZE 61
46,F,577,En Couple,1,true,5134 PR 29
82,F,563,Célibataire,0,false,8771 YQ 56
19,M,473,Célibataire,0,false,8963 VN 68
30,M,195,En Couple,4,false,8191 VB 67
47,M,575,En Couple,3,false,1339 WO 24
75,M,524,Célibataire,0,false,7478 OG 87
48,F,180,Célibataire,0,false,2853 TA 52
27,M,546,En Couple,0,false,1595 GK 87
38,F,534,Seule,2,false,3398 FP 50
50,M,532,En Couple,4,false,1992 XY 30
20,M,477,En Couple,0,false,4016 ZW 27
21,M,1263,Célibataire,0,false,9541 GE 20
23,F,1142,En Couple,2,false,2912 VG 70
50,F,190,En Couple,4,false,4547 JR 50
52,M,547,Célibataire,0,false,3481 SJ 15
25,F,780,En Couple,0,false,1754 YO 16
19,M,411,En Couple,0,true,523 AB 72
26,M,475,En Couple,2,false,1953 LU 92
27,M,1333,En Couple,1,false,7328 RW 58
54,M,533,Célibataire,0,false,1684 UF 77
31,M,480,Célibataire,0,false,3307 ZO 73
33,M,1125,En Couple,0,false,7757 BK 20
20,M,461,En Couple,0,false,2297 MX 31
51,F,153,En Couple,0,false,5325 ZQ 85
63,M,235,En Couple,4,false,5633 SB 30
22,M,217,Célibataire,0,false,1425 BG 12
61,M,977,Seule,3,false,1429 IP 98
47,M,767,En Couple,1,false,8079 KK 78
72,M,400,Célibataire,0,false,1841 LF 92
60,M,535,En Couple,0,true,968 AR 37
19,M,714,Célibataire,0,false,5769 FU 36
78,M,849,En Couple,2,false,7958 UD 71
51,M,1172,Seule,2,false,3052 RC 89
58,M,425,Célibataire,0,false,5820 OW 50
33,M,975,En Couple,2,false,2277 KV 41
53,M,995,En Couple,4,false,2859 HM 73
23,F,222,Célibataire,0,false,9238 EN 82
18,M,1106,Célibataire,0,false,9289 UC 69
52,M,474,Marié(e),0,false,5548 HE 57
72,M,420,Célibataire,0,false,2985 CN 17
81,M,512,En Couple,0,false,6912 DA 23
33,F,242,En Couple,1,false,7447 ST 49
65,Masculin,426,Célibataire,0,false,2866 KS 16
44,M,569,En Couple,4,false,2555 TE 69
29,F,174,Seule,2,false,1742 RJ 28
77,F,167,En Couple,3,true,2531 DQ 26
26,M,1381,En Couple,1,true,8216 IT 53
37,M,457,Célibataire,0,false,858 JZ 80
23,F,838,En Couple,0,false,161 OT 54
22,F,537,En Couple,3,false,4502 JU 16
49,F,1311,Célibataire,0,false,6513 HI 50
28,M,249,En Couple,0,false,2419 VB 86
43,F,511,En Couple,0,false,9340 PT 93
20,F,844,Célibataire,0,false,5946 QT 20
56,F,402,Célibataire,0,false,4784 IB 65
29,F,474,Célibataire,0,false,1518 KG 61
77,M,218,En Couple,4,false,2115 BD 73
39,M,426,Célibataire,0,false,5547 HQ 82
25,M,599,En Couple,1,false,7846 TJ 85
83,F,179,En Couple,2,false,9288 TQ 11
47,F,981,En Couple,2,false,3702 HN 60
20,M,597,En Couple,0,false,9379 VH 19
45,F,439,En Couple,1,false,6935 YS 23
38,M,468,Célibataire,0,false,1257 WR 66
18,M,494,En Couple,1,false,1225 GW 18
39,M,409,Célibataire,0,false,8605 TH 39
71,M,224,En Couple,3,false,1701 CV 36
22,M,570,En Couple,2,false,9853 UG 29
80,M,1145,En Couple,1,false,3871 YL 34
29,M,403,En Couple,0,false,50 AX 49
36,M,1198,En Couple,3,false,3027 SW 41
47,M,202,Célibataire,0,false,9806 YO 20
66,M,518,En Couple,3,false,1929 NA 21
26,M,241,En Couple,1,false,1261 NC 17
23,F,196,Marié(e),2,false,2562 EH 77
37,M,966,En Couple,4,true,2774 TK 95
18,M,1130,Célibataire,0,false,9786 VT 48
59,M,558,En Couple,0,false,8089 EU 45
20,M,216,En Couple, ,false,8246 UF 34
55,M,929,En Couple,1,false,1921 GE 71
26,F,1358,En Couple,1,false,4821 DR 46
58,M,591,Célibataire,0,false,3633 BD 88
65,M,951,Célibataire,0,false,4481 LH 34
45,F,249,Célibataire,0,false,4440 GN 32
79,M,894,En Couple,3,true,4508 CB 78
77,M,472,En Couple,1,false,8671 OM 20
37,M,1128,Célibataire,0,false,2517 LD 94
18,F,203,Célibataire,0,false,9191 CA 89
33,M,596,En Couple,2,true,9154 CH 66
35,M,1205,En Couple,1,false,5868 IZ 82
67,M,807,En Couple,3,false,5189 MY 20
28,M,463,En Couple,2,false,5734 NW 66
27,M,433,Célibataire,0,false,2506 XX 82
39,M,888,En Couple,4,false,3237 NL 15
18,F,439,Célibataire,0,false,7156 XR 92
21,M,588,Célibataire,0,false,2691 IN 75
66,M,541,Célibataire,0,false,5013 WI 25
48,F,436,Célibataire,0,false,9443 PI 58
60,F,797,En Couple,1,false,7172 JI 13
71,M,1148,Célibataire,0,false,2581 QE 28
29,F,537,Célibataire,0,false,3814 OF 55
39,M,748,En Couple,3,false,8017 OC 64
81,M,1114,Célibataire,0,false,3047 KB 21
50,M,518,En Couple,3,false,8569 RB 53
24,M,196,En Couple,2,false,6864 SU 58
29,M,499,En Couple,3,false,1241 ZL 77
23,M,182,En Couple,3,false,97 RZ 89
37,F,520,Célibataire,0,false,1016 NS 24
46,F,425,En Couple,1,false,9797 XR 69
56,F,248,En Couple,2,false,4598 NF 46
69,M,529,Célibataire,0,false,3794 DI 32
41,M,536,Célibataire,0,false,4606 PA 58
27,F,203,Célibataire,0,false,440 WL 17
39,M,195,En Couple,0,false,4131 RJ 55
30,F,770,En Couple,2,true,7503 OC 80
39,M,465,En Couple,2,true,628 DK 32
58,M,1230,Célibataire,0,false,7483 OW 45
54,M,1294,En Couple,1,false,6841 EK 42
55,F,481,En Couple,0,true,4041 IG 34
23,F,1329,En Couple,2,false,389 AP 17
58,M,155,En Couple,2,false,9233 MQ 49
18,M,1276,En Couple,3,false,7492 PL 29
65,F,514,En Couple,4,false,2147 UP 43
29,F,422,En Couple,2,false,3468 VR 59
82,F,529,Célibataire,0,false,908 FS 35
19,M,1351,En Couple,1,false,9725 AM 61
48,M,150,En Couple,4,false,64 DU 26
26,M,425,Célibataire,0,false,483 PS 58
55,M,538,En Couple,3,false,6079 LI 84
59,M,156,En Couple,2,false,8016 PG 55
59,M,407,En Couple,3,false,8306 OB 44
41,M,920,En Couple,3,true,388 YZ 24
31,F,1205,Célibataire,0,false,6572 ZG 84
21,M,231,En Couple,1,false,6423 EP 65
49,M,494,Célibataire,0,false,3771 PW 20
42,M,1345,En Couple,2,false,2971 BL 17
47,F,921,En Couple,2,false,3413 NX 89
54,M,446,En Couple,3,false,460 GV 76
81,F,544,En Couple,3,false,974 YF 24
51,F,891,En Couple,2,true,1905 ZP 66
37,M,191,En Couple,2,false,4958 OA 77
33,M,1084,En Couple,2,false,2842 RM 59
18,M,929,En Couple,4,false,9789 GM 35
28,F,532,En Couple,2,false,1809 TI 25
47,F,503,Célibataire,0,false,4153 EE 44
23,M,1170,En Couple,3,false,3947 WF 67
30,F,1335,Célibataire,0,false,4604 WZ 77
27,F,442,En Couple,0,false,7430 AP 91
49,M,161,Célibataire,0,false,8872 AH 61
46,F,1019,En Couple,3,true,1210 AX 62
28,F,524,En Couple,3,false,5964 OW 42
28,M,556,En Couple,2,false,8330 YN 68
44,M,228,En Couple,0,false,3950 PD 71
61,F,497,En Couple,3,false,3890 HB 21
37,M,406,En Couple,1,false,3456 MB 67
49,M,1129,En Couple,1,false,7272 TO 33
51,Femme,1141,En Couple,4,false,6893 MD 93
49,M,407,En Couple,2,false,188 VO 35
49,M,1248,Célibataire,0,false,714 EV 43
20,M,528,En Couple,2,true,8313 WH 70
22,M,789,En Couple,1,false,3127 QS 41
82,F,154,En Couple,2,false,276 FC 47
28,M,215,En Couple,1,false,6893 EF 92
65,M,483,En Couple,3,false,3818 WV 90
20,F,580,En Couple,1,false,1072 YJ 41
29,F,201,En Couple,3,false,1443 VI 42
37,M,435,En Couple,4,false,1788 YG 72
56,M,485,En Couple,2,false,7267 KC 59
19,M,190,Célibataire,0,false,8234 LR 35
40,M,1349,En Couple,2,false,4277 JY 26
34,M,552,En Couple,0,false,9817 PT 22
49,M,547,Célibataire,0,false,80 ZN 66
36,M,1073,En Couple,1,false,9622 UM 88
30,N/D,444,En Couple,1,true,8036 JX 40
20,M,837,Célibataire,0,false,2007 UC 79
35,M,555,Marié(e),4,true,8571 OA 16
32,M,598,Célibataire,0,false,7737 BR 92
44,M,581,En Couple,1,false,2170 EA 93
82,M,824,En Couple,4,false,6407 ET 81
41,M,549,En Couple,1,false,9183 YM 74
54,M,420,En Couple,1,false,9252 RK 27
36,F,168,En Couple,4,false,9394 DB 93
64,M,545,Seule,2,false,2749 MC 36
52,M,1110,En Couple,0,false,4422 LS 97
53,F,240,En Couple,1,false,9225 OO 16
77,M,191,En Couple,3,false,6630 FU 26
66,M,1359,En Couple,1,false,4282 HP 54
67,M,484,En Couple,0,false,7690 VY 50
71,M,529,En Couple,2,true,860 JX 87
34,F,212,En Couple,2,false,2561 QP 46
40,M,213,En Couple,1,false,3491 DU 52
25,M,466,Célibataire,0,false,4103 MO 37
84,M,459,En Couple,3,true,7102 SJ 73
43,M,794,En Couple,1,false,8174 IN 63
59,M,590,Célibataire,0,false,8456 IP 62
45,F,221,En Couple,0,false,7990 RQ 56
24,M,567,En Couple,1,true,163 AN 83
76,M,516,En Couple,3,false,4630 BS 84
22,M,812,En Couple,0,true,6381 AI 70
75,M,898,Célibataire,0,false,7890 JT 11
57,M,506,En Couple,2,false,7196 LC 77
22,F,598,Seule,1,false,3845 EZ 29
78,M,528,En Couple,3,false,2051 TV 39
68,M,1160,En Couple,2,false,2630 WD 12
53,M,469,En Couple,0,false,6269 RA 92
58,M,498,En Couple,1,false,2389 WL 87
21,M,1064,En Couple,1,false,2270 EM 13
78,M,990,Célibataire,0,false,8156 QJ 44
44,M,567,Célibataire,0,false,7399 WH 24
26,M,235,En Couple,0,false,3343 QH 68
